,name,artists:name,id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
12,Semi Kinda Right,One Flew West,37iTF9KJmvX5BsWLZKtO1X,178391,0.589,0.855,1,-4.454,0,0.029,0.00103,0.0,0.121,0.621,102.998,4
18,Words Ain't Enough,"Tessa Violet, chloe moriondo",7lMzNAybmy1UNPsgflbVcE,124415,0.713,0.325,0,-5.766,0,0.0312,0.928,0.0106,0.107,0.239,110.541,3
24,Ghost Adventure Spirit Orb,chloe moriondo,3usozzhsqnw7XnQt9WB3hX,177009,0.509,0.206,4,-14.604,1,0.0431,0.633,0.0,0.0927,0.3,143.462,4
30,Hold On For Dear Life,"Adam Melchor, Briston Maroney",2qQvRQWSdIzyFK0Uvxh3V1,227117,0.494,0.791,7,-4.067,1,0.0373,0.0182,0.0,0.265,0.367,123.997,4
36,Magnificent,Oh Wonder,4djeNHa2hRfxB5Z4HD5Stu,268528,0.622,0.392,9,-12.572,1,0.0405,0.336,0.00962,0.073,0.413,79.977,4
42,Can You Feel The Sun,MISSIO,2DZqu0ju4GPs4nJXm1XrQ1,286342,0.494,0.645,2,-6.552,0,0.0334,0.0368,1.23e-06,0.135,0.103,127.923,4
48,Darkness,Bronze Radio Return,77WgMy0kPqu8tpEGJcM3xe,204915,0.659,0.779,7,-5.545,1,0.0367,0.053,9.82e-05,0.0736,0.514,107.97,4
4,Upper West Side,King Princess,7vfaRUaFBDwENwa3tzJY64,211413,0.635,0.496,9,-8.858,1,0.0338,0.277,0.00634,0.081,0.733,141.863,4
10,Half Alive,Amber Run,7rBgx1F0dcOai3Rd21CzcZ,215053,0.358,0.715,11,-7.058,0,0.06,0.0736,0.21,0.0724,0.324,113.408,5
16,Sticky,The Maine,6qXBZGMoNHTVIebQDECoY9,178900,0.669,0.819,0,-4.716,1,0.0363,0.11,0.0,0.212,0.762,105.055,4
22,I Just Wanna Run,The Downtown Fiction,3WLLJzllBEgPiSA0qd3BN3,199959,0.669,0.667,4,-3.0,1,0.0511,0.00769,0.0,0.0983,0.69,128.103,4
28,Peachy,Bad Suns,5VN19XwyKuWp3lfQFFB4ov,202955,0.662,0.835,6,-4.424,1,0.0294,0.00137,1.09e-06,0.114,0.714,103.996,4
34,Simple Things,No Love For The Middle Child,5XmLP99v54O4zV9vrlBKVS,171221,0.523,0.696,6,-5.313,0,0.0529,0.0476,0.0,0.205,0.366,103.886,4
40,Checkmate,Conan Gray,3SnpCALgmzVy7k07aAXbuA,148280,0.512,0.716,1,-4.13,1,0.304,0.0669,9.04e-06,0.147,0.703,151.484,4
46,Lifeline,"Tómas Welding, ELVA",3bveGlyB1hTt9g2qqkR0jl,200347,0.753,0.425,4,-7.924,0,0.0321,0.837,3.03e-06,0.0996,0.481,114.962,4
2,Purple,Hollow Coves,7bwqzQSHl3GE0qA4owWOzG,265962,0.591,0.676,7,-7.47,1,0.0256,0.13,0.0796,0.09,0.369,107.999,4
8,Boys,Hippo Campus,7yfLvK7r1w5bql3G0Uha5w,253848,0.515,0.771,2,-5.081,1,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995,4
14,Older,Alec Benjamin,4qeHV9T5N3S7KAKryZQp8s,164396,0.539,0.489,2,-8.456,1,0.0635,0.59,0.0,0.197,0.515,84.211,4
20,seasonal depression,mxmtoon,16vTdg4LWbLbgZ2uTrQcB8,156120,0.582,0.636,10,-5.408,1,0.081,0.704,0.0,0.152,0.381,155.825,4
26,Were You Lying? - Demo,"Jansen, The Wldlfe",5gP7QR2jv7DE0grdzoFGCB,265981,0.549,0.438,9,-7.958,1,0.0294,0.5,4.86e-05,0.0929,0.256,117.862,4
32,Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,163854,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,4
38,There Will Be Another,Bronze Radio Return,1PgXr1hlvoOa7ugxQsFGta,231784,0.656,0.299,7,-10.658,1,0.0288,0.795,0.00903,0.156,0.338,80.053,4
44,Summerland,half•alive,0dN3cttUifpkm1Oja79zJr,229659,0.713,0.804,2,-4.971,1,0.15,0.258,0.0,0.346,0.703,103.881,4
0,Train,Brick + Mortar,5fAeD0Y8eG2EWN2e5ZRpxa,185029,0.596,0.729,7,-5.82,1,0.0698,0.0433,0.151,0.135,0.56,149.999,4
6,Outsiders,"UNSECRET, Bryce Fox",2Pq6p5xmckZxvV0gl3lEaG,165253,0.639,0.789,2,-6.293,1,0.0469,0.139,0.000328,0.091,0.648,120.078,4
12,The Dragon,Will Joseph Cook,6Hklbd3IHCx7th0EtVoQ2S,204591,0.819,0.606,9,-5.739,1,0.0685,0.0569,0.000539,0.029,0.958,146.034,4
18,Sofia,Clairo,7B3z0ySL9Rr0XvZEAjWZzM,188386,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,4
24,One More Second - Future Islands Remix,"Matt Berninger, Future Islands",5COrym7h8O3YPFIht8nsDi,249555,0.523,0.591,4,-10.637,1,0.0462,0.0642,0.908,0.111,0.347,166.03,4
30,After All,"Elton John, Charlie Puth",38UDoZyudPWXLzXRAb71oP,208714,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,4
36,Last Week On A Friday,Young Rising Sons,0UpdNPlHt0URGZzaU5aTxx,200886,0.553,0.905,10,-3.912,1,0.0577,0.000852,0.183,0.299,0.689,144.993,4
42,Mood Swings,New Dialogue,4uM9jXse2J95M11yAiSJLB,183157,0.476,0.704,8,-5.755,0,0.123,0.326,0.0,0.266,0.454,110.069,3
48,I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,6IbCvfmmICEEAyDwQ9zcbt,195190,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,4
4,Moon in the Morning,Adam Melchor,1Lfr9YBRpeSwCS14kBoTAg,194266,0.458,0.464,5,-9.126,0,0.031,0.799,3.42e-05,0.109,0.256,122.821,4
10,The Golden Age,Woodkid,0G2tHYsAHueVaPhTTBbVna,224720,0.545,0.752,2,-6.745,1,0.0362,0.723,0.136,0.138,0.232,132.033,4
16,Roses,The Band CAMINO,28Fqo5nrtgYj7czjeyHg04,181673,0.703,0.768,1,-5.069,1,0.0339,0.0339,1.3e-06,0.0328,0.786,95.983,4
22,Do Me Like That,Penguin Prison,2R4B5jDPvxVR09SQGLyDFP,195066,0.61,0.82,9,-5.035,1,0.0332,0.101,1.8e-06,0.212,0.776,152.091,4
28,All We Have Is Now,The Modern Electric,0vvP8kCXvar3wvMi4xnCzG,244978,0.622,0.652,1,-5.763,1,0.0419,0.111,3.63e-05,0.315,0.313,123.98,4
34,Heaven Is A Place In My Head,Bad Suns,52M0gZE3bcGs9VWUNnOfMg,231845,0.532,0.861,1,-4.134,1,0.0342,0.000138,0.0098,0.0737,0.675,93.477,4
40,Dirty Little Secret,The All-American Rejects,5lDriBxJd22IhOH9zTcFrV,193653,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,4
46,Cliché,Cece Coakley,2pBym9Ta4unUYYefC1qEjy,183000,0.523,0.448,7,-6.319,1,0.0457,0.595,0.0003,0.11,0.332,106.929,0
2,Sex Tape,Hippo Campus,57rOrYZq3UmlRnww6XOftv,174826,0.359,0.699,2,-6.187,1,0.133,0.216,0.0,0.217,0.783,87.123,4
8,Your Touch,Foreign Air,7GXzl1P7qswewR5aKKVFuA,225038,0.562,0.753,4,-6.269,0,0.0559,0.00619,0.00475,0.0665,0.277,161.94,4
14,Night Vision,Drives the Common Man,1AlsstnhmK0Of1G8iQQYsJ,187354,0.653,0.914,1,-8.927,1,0.103,0.0665,8.35e-06,0.0952,0.732,92.457,4
20,Our Bones Turn To Stone,Aquilo,3L0XH247cWBtheVx7Tkfaa,260225,0.27,0.473,3,-10.264,1,0.0341,0.799,0.167,0.142,0.116,171.992,3
26,Dark Days,Local Natives,7LZN7FkxHZk6maiN6NdI2i,180413,0.604,0.655,9,-7.088,1,0.0273,0.109,0.0019,0.125,0.59,115.038,4
32,Little Heartbeat,Cataldo,5ayP5kvFtT8GPUCX1wbgkm,205200,0.717,0.761,0,-5.653,1,0.0316,0.0348,0.000101,0.163,0.722,128.014,3
38,Tough to Be a Dreamer,Felix Hagan & the Family,0SaiBUaBe0AXfsUU0XOxhE,262509,0.594,0.862,4,-6.77,1,0.0439,0.093,0.0,0.171,0.602,126.97,4
44,Higher Power - Tiësto Remix,"Coldplay, Tiësto",04zCkONaIDxTx2gDjV1yCd,229565,0.629,0.826,5,-4.242,1,0.0467,0.00189,0.0127,0.108,0.533,137.99,4
0,Punks and Poets,Elliot Root,15arhZdjyxnf4vgUTwTP7n,243646,0.58,0.487,0,-11.588,1,0.0308,0.537,0.0251,0.12,0.29,149.988,4
6,Sports With Strangers,HUNNY,2OhueLMXkNgsPYlrlSi6Fb,182723,0.466,0.83,7,-7.575,1,0.058,0.000109,0.0103,0.32,0.745,167.979,4
12,One More Weekend,Maude Latour,4jNRzwGdqkcF11lAvdVHu2,142829,0.619,0.563,3,-6.922,1,0.123,0.54,0.0,0.213,0.527,130.981,3
18,Girl in Calico,Tow'rs,2XiZN924Dye5VCgl2skr5M,283099,0.431,0.192,0,-13.585,1,0.0297,0.828,0.501,0.076,0.0388,94.045,4
24,Walcott,Vampire Weekend,0BZY839qKXibapu4S0GYE2,221600,0.398,0.56,5,-5.448,1,0.0312,0.512,0.0151,0.224,0.59,160.71,4
30,Won't You Hold Me,Grace Lee,0Hzvbc6JP5IONJqRggPR9d,218453,0.642,0.489,6,-9.281,0,0.0405,0.699,0.00016,0.0701,0.34,133.061,4
36,Zombie!,Orla Gartland,1FLyXkdwjRfDakk4XmAFk9,177090,0.525,0.739,7,-5.917,1,0.229,0.00678,1.18e-05,0.0815,0.62,88.202,4
42,Don't Let Me Go,Neck Break Launch,14AXQAp94qn3lgukGk1Bkn,199250,0.472,0.461,7,-10.19,1,0.0307,0.0363,0.004,0.802,0.269,99.852,4
48,Higher Love,JR JR,5d8LE0FoHiBJOaRJ8LC2qU,279919,0.668,0.751,1,-5.916,0,0.0322,0.18,4.82e-06,0.0428,0.777,102.949,4
4,Bad Things,Social Animals,4GJvolzpuvX8Fp38V1UQCT,162691,0.594,0.841,1,-4.726,1,0.091,0.0481,0.0,0.11,0.407,142.153,4
10,Snail (feat. Chloe Moriondo),"Cavetown, chloe moriondo",6wZRVdKVHHSEHiAyTcwtV2,230906,0.659,0.313,10,-12.038,1,0.0388,0.493,5.97e-06,0.0927,0.25,124.851,4
16,Come Out,Masek Porter,3JkcPEiVQtTfS0rixsJM3e,242000,0.581,0.769,5,-9.472,1,0.0332,1.53e-05,0.0002,0.149,0.713,121.009,4
22,science fiction,Smallpools,60vJTXpQmdca1hVaxmuoZ2,185590,0.37,0.881,11,-4.159,1,0.148,0.053,0.000352,0.0684,0.549,86.78,4
28,coyote,Stop Light Observations,4rhuJNcCQpJPN218EDy7lU,284118,0.567,0.656,2,-6.05,1,0.0316,0.283,0.00862,0.0925,0.355,120.092,4
34,Ruthless,Tristam,2QJZqURbvV1l4skBkSGQGo,186666,0.491,0.871,9,-4.261,0,0.117,0.465,0.0,0.191,0.32,134.758,4
40,Lemon Boy,Cavetown,3Yvk0ZLxMlt6ioasvdN6vB,272902,0.509,0.478,4,-10.051,1,0.0392,0.185,1.4e-06,0.0891,0.323,139.926,4
46,"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",Owl City,5ZkAx8zjLiSs1nMmBwJoZS,218093,0.638,0.831,11,-6.812,0,0.081,0.0263,0.0,0.0491,0.388,127.975,4
2,Sad Song (feat. Elena Coats),"We The Kings, Elena Coats",05CrK6Q5VGtfPDtyQFJ4Kf,226330,0.512,0.526,1,-5.44,1,0.0251,0.0724,0.0,0.0675,0.249,85.024,4
8,Can I Call You Tonight?,Dayglow,64lsIF5pw0sJY0gV5kz0RN,278769,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
14,Operate,Vesperteen,2a7s3jxHXNyAim8BuhyRuo,227682,0.555,0.79,5,-6.275,1,0.0509,0.00105,0.0,0.133,0.362,122.064,4
20,Lonely,"TWIN XL, Little Hurt, Rad Horror",6BbppaUSgyw6fTdTTANsVJ,166638,0.589,0.76,0,-5.01,1,0.0446,0.206,0.0,0.259,0.564,90.047,4
26,Darkside,"Alan Walker, Au/Ra, Tomine Harket",6SRWhUJcD2YKahCwHavz3X,211680,0.43,0.606,4,-5.115,0,0.0431,0.131,0.0,0.173,0.123,169.988,4
32,Tell Me You Don't Love Me,Mating Ritual,2DFSTVojQ0vz2rebgznbVG,261802,0.636,0.674,0,-4.32,1,0.0337,0.048,2.35e-05,0.0718,0.501,121.993,4
38,right where you left me,Taylor Swift,3IxAFD3NO9vUqJpL0xH3kc,245026,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,4
44,Lost,fin,2Ws4VPSsQyZJ1zTxAkV64M,179000,0.736,0.566,3,-8.909,1,0.0431,0.485,0.0,0.0482,0.886,120.035,4
0,Sports Car,Valley,0EoeTWJ9G3xvRwUUFCCHht,245373,0.604,0.479,1,-9.52,1,0.0356,0.0325,2.67e-05,0.641,0.22,91.975,4
6,A New Way,morgxn,0qfFhl3d2x5ttzIxWggvNg,196754,0.423,0.849,11,-3.454,0,0.0496,0.002,0.0,0.394,0.495,85.065,4
12,I Go Crazy,Orla Gartland,2Rj9HWaNkUsxdjM2khuqNd,214574,0.784,0.588,6,-8.26,0,0.0524,0.0891,0.0,0.126,0.519,109.994,4
18,Daydreamer,AURORA,7ihHmMBWoS3PqpFf9FPv7A,219057,0.605,0.56,10,-8.619,1,0.0792,0.039,0.000324,0.485,0.263,145.946,4
24,New Dork Pity,Small Talks,4AOU5gNns3dAVyPfvHazwJ,131736,0.427,0.751,11,-10.567,1,0.0436,0.0654,0.598,0.269,0.466,138.276,4
30,Nicotine & Tangerines,Small Talks,3g3dDkZVs4Embhj6w2WAQT,175899,0.399,0.881,1,-6.383,0,0.0365,0.000517,0.306,0.0814,0.546,160.084,4
