,name,artists:name,id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
107,Take a Walk,Passion Pit,4Sfa7hdVkqlM8UW5LsSY3F,264493,0.566,0.755,11,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,4
108,Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,163253,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
109,Tongue Tied,GROUPLOVE,0GO8y8jQk1PkHzS31d699N,218013,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4
110,Sedona,Houndmouth,2kG5litgxXvx6ZRgwO1v7W,239880,0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,4
111,Electric Love,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,218106,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
112,Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,204280,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4
113,All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi,217603,0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,4
114,Moscow,Autoheart,4ylE1Sl2wohbCvToD1fHsl,234571,0.715,0.611,0,-8.302,1,0.0324,0.183,8.51e-06,0.0786,0.817,103.987,4
115,Vixen,In Loving Memory,3b2wPH26pwfNEdKR9JWHw8,228934,0.596,0.82,2,-5.709,0,0.049,0.0358,0.0,0.109,0.516,121.998,4
116,Samantha,chloe moriondo,0mto9hAeKkLC8pAtHoarY7,215066,0.205,0.868,4,-4.284,1,0.0781,0.0341,1.53e-05,0.169,0.475,172.866,4
117,Can You Feel The Sun,MISSIO,2DZqu0ju4GPs4nJXm1XrQ1,286342,0.494,0.645,2,-6.552,0,0.0334,0.0368,1.23e-06,0.135,0.103,127.923,4
118,YES MOM,Tessa Violet,3imd2WJDPDoIOyqDmw3plc,162360,0.78,0.672,8,-4.398,1,0.0328,0.143,7.27e-05,0.125,0.541,97.054,4
119,fall in love with a girl (feat. Beabadoobee),"Cavetown, beabadoobee",0rH1Y0mcALJgAq8EKF2Zwt,190853,0.686,0.511,10,-7.782,1,0.0284,0.133,6.3e-05,0.102,0.39,107.067,4
120,Crush,Tessa Violet,6MYJv37Mpj5njLLbxKWNun,216266,0.91,0.402,1,-9.55,1,0.0857,0.0297,0.00018,0.0801,0.825,135.993,4
121,We Won't Sleep,Handsome Ghost,5D7L0HYjQC9Zu9xjJCUfrY,184386,0.666,0.527,2,-8.212,0,0.0424,0.106,1.92e-06,0.171,0.481,90.001,4
122,Café Deluxe,Osei The Seventh,4KAbHs539qjYyqH8OyQRPt,180362,0.927,0.308,6,-7.301,1,0.0836,0.869,0.0,0.0907,0.969,130.009,4
123,The Night We Met (feat. Phoebe Bridgers),"Lord Huron, Phoebe Bridgers",0jZO7p0nBUi9VHedWUBS9l,208173,0.424,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.127,3
124,overgrown garden,Beetlebug,3HFhoym0OFKcbxycJRk8l4,285324,0.403,0.188,1,-9.315,1,0.0424,0.89,0.0,0.0743,0.369,202.73,3
125,Orpheus,The Beaches,5jhplymMubt3XgOkEKfAJF,217816,0.77,0.742,2,-5.843,1,0.0284,0.0455,0.00621,0.102,0.925,111.0,4
126,Dirty Paws - The Cabin Sessions,Of Monsters and Men,7oizyFVWGs1jrJ5Zszfk7f,268826,0.444,0.684,0,-7.957,0,0.0294,0.00113,0.245,0.164,0.114,111.617,4
127,Little Numbers,BOY,32UKzfkSMoFSHfcd20l4PW,219840,0.537,0.781,1,-4.848,1,0.0387,0.139,0.0,0.0968,0.712,191.807,4
128,Wish You the Worst,Ryan Mack,0cOwPdK6FsqXz967daLc4k,143466,0.7,0.577,9,-7.248,0,0.066,0.0627,0.0,0.367,0.589,94.948,4
129,I Hear a Symphony,Cody Fry,4ZHGRFGwjnEIXHG2FhcDPv,185176,0.197,0.247,3,-8.542,1,0.0306,0.934,0.0163,0.111,0.407,75.787,3
130,San Luis,Gregory Alan Isakov,7gDNQLV9cr8449LFrQbk5J,272346,0.567,0.434,7,-12.755,0,0.0349,0.86,0.257,0.115,0.254,82.459,4
131,To All of You,Syd Matters,7yC7FWZz24L43brXzNpLWT,283266,0.312,0.536,1,-11.701,0,0.036,0.269,0.0769,0.113,0.0971,104.483,4
132,Evermore,Hollow Coves,7LdUTzOChvJJbJPZNhJj5X,223846,0.409,0.482,8,-9.917,1,0.0269,0.592,0.00448,0.078,0.335,78.987,4
133,Obstacles,Syd Matters,2ynCjjrmED5CfiVn2ZLkUk,208706,0.395,0.415,3,-8.461,1,0.0338,0.242,0.912,0.134,0.143,126.875,4
134,Santa Monica Dream,Angus & Julia Stone,47YITQYhJXw79nCor48tnq,330200,0.47,0.264,5,-13.73,1,0.0362,0.912,0.0781,0.107,0.0715,120.385,4
135,tired of california,Nessa Barrett,02xRKYZ1jY4B6utPa59qSf,190800,0.712,0.731,6,-6.313,0,0.0402,0.228,0.0,0.372,0.638,92.014,4
136,Forever Drunk,Peach PRC,0DqnKQQarQLw4zVY0LLGbY,190107,0.745,0.791,9,-4.966,1,0.0695,0.086,0.0,0.153,0.313,127.955,4
137,Hostages - Wuh Oh Remix,"The Howl & The Hum, Wuh Oh",3VxYdOS1ohN4hxVdr9JSJx,230559,0.262,0.375,2,-9.087,1,0.0303,0.464,0.0,0.125,0.11,96.739,5
138,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",7mykoq6R3BArsSpNDjFQTm,246652,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,4
139,The Lord God Bird,Coach Kit,6uvHuXQqiixn2fPKa15fHT,205018,0.61,0.348,10,-10.874,0,0.0273,0.825,0.0143,0.185,0.51,123.605,4
140,"Sitting, Waiting, Wishing",Jack Johnson,5eWOsyHHic4vJP3LjTVhqv,183720,0.765,0.535,0,-7.229,1,0.0265,0.22,2.55e-05,0.104,0.548,105.019,4
141,victim of nostalgia,mxmtoon,3MxTQKJCN6VqT84NPLeK14,156906,0.671,0.818,6,-4.89,1,0.03,0.00288,0.00132,0.0368,0.85,119.021,4
142,Frankenstein,Claire Rosinkranz,1xSmjB0t19q4CSJ0X0ymGB,202248,0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,4
143,Manic Pixie Dream Girl,Addison Grace,1pD01xu0LKlIumwYPjO7BQ,203034,0.421,0.758,0,-9.755,1,0.0555,0.0217,0.0067,0.312,0.73,111.981,5
144,friends or not,Zeph,36MS43HvrxStwaE7lUtycs,192826,0.406,0.625,5,-6.582,1,0.0379,0.112,1.99e-05,0.355,0.439,83.387,4
145,Cryptid (Mothman),Ratwyfe,1S5SOMEQf6jSKbjohHWSSI,185292,0.469,0.371,1,-13.218,1,0.0588,0.944,0.0111,0.104,0.792,78.954,4
146,One By One,Birds of Bellwoods,0zPIWO1XoBWWRziLIGzgvm,185675,0.54,0.854,1,-5.152,1,0.0345,0.0135,0.0,0.333,0.799,87.896,4
147,Talking To Strangers,Maisie Peters,24ESIinbvHR2FoGF78IQWs,190653,0.642,0.425,2,-7.587,1,0.0311,0.796,1.29e-05,0.103,0.399,97.799,4
148,Spanish Sahara,Foals,0ikPZkDZ7CgZMmyt5o9t57,409560,0.365,0.57,9,-10.039,0,0.0696,0.028,0.042,0.108,0.364,128.432,4
149,Be Around Me (feat. chloe moriondo),"Will Joseph Cook, chloe moriondo",3Nsxlv9JESIFfOBbupIKOc,181249,0.679,0.741,4,-4.848,1,0.112,0.127,1.36e-05,0.523,0.733,165.085,4
